X,Y,Z,Class
4.086306730996237,-4.298117838659924,0.568430645075614,car
4.096491491110209,-4.122883587399079,0.6547840921903669,car
0.670974087525655,0.5445207673812164,-0.0954136181024043,person
0.5540324225071875,0.7308548566630333,-0.26926363988436486,person
-0.2694136398093616,0.47342728397899564,-0.23263594649553018,person
-0.2397112373106999,0.5530289445025692,-0.241627741988249,person
-2.319236160094187,-1.6135851048828822,0.5328407092369664,person
-1.9407886188781804,-1.1657940980999784,0.41234542993964585,person
-2.137783069857556,-1.2995161799288923,0.40452088603943737,person
-1.6826686697128348,-0.9490770767395033,0.15504005389831282,person
-2.1075485733331654,-1.2997513254840953,0.44748742598101554,person
0.43134966877577446,-0.4070992888313348,-0.6405396212147214,person
0.5990874357346212,0.6671330452518274,-0.5092820824586095,person
2.770084174090932,-1.4745562897373663,-0.29941173166499224,car
0.8677419204229451,-2.3933509534663964,-0.324117670754673,car
